Time,Amount
1907.17,-0.27
1907.25,-0.39
1907.33,-0.47
1907.42,-0.44
1907.5,-0.37
1907.58,-0.35
1907.67,-0.33
1907.75,-0.24
1907.83,-0.49
1907.92,-0.48
1908,-0.44
1908.08,-0.31
1908.17,-0.54
1908.25,-0.46
1908.33,-0.41
1908.42,-0.41
1908.5,-0.4
1908.58,-0.46
1908.67,-0.36
1908.75,-0.45
1908.83,-0.5
1908.92,-0.49
1909,-0.69
1909.08,-0.47
1909.17,-0.51
1909.25,-0.6
1909.33,-0.56
1909.42,-0.53
1909.5,-0.45
1909.58,-0.31
1909.67,-0.35
1909.75,-0.37
1909.83,-0.31
1909.92,-0.55
1910,-0.45
1910.08,-0.44
1910.17,-0.51
1910.25,-0.4
1910.33,-0.35
1910.42,-0.38
1910.5,-0.35
1910.58,-0.37
1910.67,-0.36
1910.75,-0.38
1910.83,-0.54
1910.92,-0.66
1911,-0.64
1911.08,-0.58
1911.17,-0.6
1911.25,-0.54
1911.33,-0.52
1911.42,-0.48
1911.5,-0.41
1911.58,-0.42
1911.67,-0.38
1911.75,-0.23
1911.83,-0.18
1911.92,-0.22
1912,-0.26
1912.08,-0.12
1912.17,-0.35
1912.25,-0.2
1912.33,-0.22
1912.42,-0.26
1912.5,-0.44
1912.58,-0.55
1912.67,-0.51
1912.75,-0.57
1912.83,-0.38
1912.92,-0.43
1913,-0.42
1913.08,-0.43
1913.17,-0.43
1913.25,-0.4
1913.33,-0.47
1913.42,-0.49
1913.5,-0.37
1913.58,-0.34
1913.67,-0.36
1913.75,-0.34
1913.83,-0.19
1913.92,-0.04
1914,0.04
1914.08,-0.11
1914.17,-0.22
1914.25,-0.29
1914.33,-0.23
1914.42,-0.26
1914.5,-0.24
1914.58,-0.14
1914.67,-0.13
1914.75,-0.04
1914.83,-0.18
1914.92,-0.08
1915,-0.17
1915.08,0
1915.17,-0.1
1915.25,0.06
1915.33,-0.07
1915.42,-0.21
1915.5,-0.11
1915.58,-0.2
1915.67,-0.17
1915.75,-0.25
1915.83,-0.13
1915.92,-0.17
1916,-0.09
1916.08,-0.13
1916.17,-0.28
1916.25,-0.3
1916.33,-0.32
1916.42,-0.47
1916.5,-0.36
1916.58,-0.26
1916.67,-0.32
1916.75,-0.27
1916.83,-0.4
1916.92,-0.8
1917,-0.58
1917.08,-0.61
1917.17,-0.6
1917.25,-0.51
1917.33,-0.55
1917.42,-0.43
1917.5,-0.25
1917.58,-0.22
1917.67,-0.18
1917.75,-0.4
1917.83,-0.28
1917.92,-0.68
1918,-0.42
1918.08,-0.32
1918.17,-0.25
1918.25,-0.45
1918.33,-0.46
1918.42,-0.36
1918.5,-0.31
1918.58,-0.3
1918.67,-0.15
1918.75,-0.05
1918.83,-0.11
1918.92,-0.28
1919,-0.2
1919.08,-0.23
1919.17,-0.2
1919.25,-0.14
1919.33,-0.28
1919.42,-0.38
1919.5,-0.29
1919.58,-0.33
1919.67,-0.22
1919.75,-0.19
1919.83,-0.41
1919.92,-0.42
1920,-0.23
1920.08,-0.23
1920.17,-0.08
1920.25,-0.26
1920.33,-0.27
1920.42,-0.36
1920.5,-0.32
1920.58,-0.25
1920.67,-0.2
1920.75,-0.27
1920.83,-0.27
1920.92,-0.44
1921,-0.03
1921.08,-0.19
1921.17,-0.23
1921.25,-0.29
1921.33,-0.29
1921.42,-0.28
1921.5,-0.15
1921.58,-0.24
1921.67,-0.17
1921.75,-0.03
1921.83,-0.13
1921.92,-0.17
1922,-0.34
1922.08,-0.44
1922.17,-0.13
1922.25,-0.24
1922.33,-0.33
1922.42,-0.33
1922.5,-0.25
1922.58,-0.31
1922.67,-0.32
1922.75,-0.32
1922.83,-0.14
1922.92,-0.18
1923,-0.29
1923.08,-0.37
1923.17,-0.35
1923.25,-0.4
1923.33,-0.34
1923.42,-0.26
1923.5,-0.3
1923.58,-0.3
1923.67,-0.28
1923.75,-0.11
1923.83,0.01
1923.92,-0.02
1924,-0.22
1924.08,-0.24
1924.17,-0.07
1924.25,-0.31
1924.33,-0.18
1924.42,-0.23
1924.5,-0.26
1924.58,-0.34
1924.67,-0.31
1924.75,-0.34
1924.83,-0.2
1924.92,-0.41
1925,-0.36
1925.08,-0.38
1925.17,-0.25
1925.25,-0.25
1925.33,-0.3
1925.42,-0.32
1925.5,-0.28
1925.58,-0.15
1925.67,-0.16
1925.75,-0.18
1925.83,0.04
1925.92,0.09
1926,0.19
1926.08,0.06
1926.17,0.11
1926.25,-0.13
1926.33,-0.22
1926.42,-0.23
1926.5,-0.24
1926.58,-0.13
1926.67,-0.13
1926.75,-0.1
1926.83,-0.05
1926.92,-0.28
1927,-0.27
1927.08,-0.18
1927.17,-0.37
1927.25,-0.31
1927.33,-0.25
1927.42,-0.26
1927.5,-0.16
1927.58,-0.21
1927.67,-0.11
1927.75,-0.01
1927.83,-0.04
1927.92,-0.33
1928,-0.01
1928.08,-0.08
1928.17,-0.27
1928.25,-0.28
1928.33,-0.3
1928.42,-0.37
1928.5,-0.19
1928.58,-0.23
1928.67,-0.19
1928.75,-0.17
1928.83,-0.09
1928.92,-0.18
1929,-0.46
1929.08,-0.6
1929.17,-0.32
1929.25,-0.4
1929.33,-0.39
1929.42,-0.41
1929.5,-0.33
1929.58,-0.29
1929.67,-0.23
1929.75,-0.12
1929.83,-0.12
1929.92,-0.54
1930,-0.3
1930.08,-0.27
1930.17,-0.09
1930.25,-0.24
1930.33,-0.23
1930.42,-0.2
1930.5,-0.2
1930.58,-0.12
1930.67,-0.12
1930.75,-0.09
1930.83,0.15
1930.92,-0.08
1931,-0.1
1931.08,-0.24
1931.17,-0.08
1931.25,-0.21
1931.33,-0.2
1931.42,-0.07
1931.5,-0.03
1931.58,-0.03
1931.67,-0.06
1931.75,0.02
1931.83,-0.12
1931.92,-0.09
1932,0.14
1932.08,-0.18
1932.17,-0.19
1932.25,-0.06
1932.33,-0.18
1932.42,-0.29
1932.5,-0.24
1932.58,-0.23
1932.67,-0.12
1932.75,-0.1
1932.83,-0.27
1932.92,-0.26
1933,-0.34
1933.08,-0.34
1933.17,-0.3
1933.25,-0.25
1933.33,-0.29
1933.42,-0.33
1933.5,-0.21
1933.58,-0.24
1933.67,-0.27
1933.75,-0.21
1933.83,-0.3
1933.92,-0.46
1934,-0.24
1934.08,-0.04
1934.17,-0.33
1934.25,-0.3
1934.33,-0.11
1934.42,-0.15
1934.5,-0.1
1934.58,-0.11
1934.67,-0.16
1934.75,-0.08
1934.83,0.03
1934.92,-0.04
1935,-0.33
1935.08,0.15
1935.17,-0.13
1935.25,-0.36
1935.33,-0.3
1935.42,-0.27
1935.5,-0.22
1935.58,-0.22
1935.67,-0.21
1935.75,-0.08
1935.83,-0.28
1935.92,-0.2
1936,-0.28
1936.08,-0.39
1936.17,-0.22
1936.25,-0.2
1936.33,-0.18
1936.42,-0.21
1936.5,-0.08
1936.58,-0.13
1936.67,-0.09
1936.75,-0.04
1936.83,-0.04
1936.92,-0.03
1937,-0.13
1937.08,0.04
1937.17,-0.18
1937.25,-0.17
1937.33,-0.08
1937.42,-0.05
1937.5,-0.05
1937.58,0.02
1937.67,0.11
1937.75,0.08
1937.83,0.09
1937.92,-0.11
1938,0.01
1938.08,-0.02
1938.17,0.08
1938.25,0.04
1938.33,-0.1
1938.42,-0.18
1938.5,-0.09
1938.58,-0.06
1938.67,0.02
1938.75,0.11
1938.83,0.04
1938.92,-0.22
1939,-0.07
1939.08,-0.08
1939.17,-0.19
1939.25,-0.09
1939.33,-0.06
1939.42,-0.08
1939.5,-0.08
1939.58,-0.07
1939.67,-0.07
1939.75,-0.03
1939.83,0.06
1939.92,0.44
1940,-0.06
1940.08,0.13
1940.17,0.15
1940.25,0.18
1940.33,0.1
